Play in 2 place, is computer: 0 and the name: Sergio C.
Play in 1 place, is computer: 0 and the name: Pedro M.
Move number: 1, big board row: 0, big board column: 0, small board row: 0, small board column: 0
Move number: 2, big board row: 0, big board column: 0, small board row: 0, small board column: 2
Move number: 3, big board row: 0, big board column: 2, small board row: 0, small board column: 2
Move number: 4, big board row: 0, big board column: 2, small board row: 0, small board column: 0
Move number: 5, big board row: 0, big board column: 0, small board row: 1, small board column: 1
Move number: 6, big board row: 1, big board column: 1, small board row: 0, small board column: 0
Move number: 7, big board row: 0, big board column: 0, small board row: 2, small board column: 2
Move number: 8, big board row: 2, big board column: 2, small board row: 1, small board column: 0
Move number: 9, big board row: 1, big board column: 0, small board row: 0, small board column: 1
Move number: 10, big board row: 0, big board column: 1, small board row: 1, small board column: 0
Move number: 11, big board row: 1, big board column: 0, small board row: 1, small board column: 1
Move number: 12, big board row: 1, big board column: 1, small board row: 1, small board column: 0
Move number: 13, big board row: 1, big board column: 0, small board row: 2, small board column: 1
Move number: 14, big board row: 2, big board column: 1, small board row: 2, small board column: 0
Move number: 15, big board row: 2, big board column: 0, small board row: 0, small board column: 2
Move number: 16, big board row: 0, big board column: 2, small board row: 2, small board column: 0
Move number: 17, big board row: 2, big board column: 0, small board row: 1, small board column: 2
Move number: 18, big board row: 1, big board column: 2, small board row: 2, small board column: 0
Move number: 19, big board row: 2, big board column: 0, small board row: 2, small board column: 2
